Chapter ID Number,Name,Cognomen / Earned Name,Born,Date of Geneseed Implantation,Date of Death,Age (Or Age at Death),Wargear,Rank History,Deployment History,Personality / Psy-Profile,Notes
1392,Tendai Weber,,654.M41,666.M41,798.M41,144,,"KIA (Veteran Battle Brother) (798.M41) (144 Years old)
Veteran Battle Brother (713.M41 - 798.M41) (85 Years) (59 Years old on date of promotion)
Battle Brother (673.M41 - 713.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","Chapter Command (713.M41 - 798.M41) (85 Years)
9th Chapter, 1st Squad (673.M41 - 713.M41) (40 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 1st Squad (666.M41 - 673.M41) (7 Years)
",,Standard Indoctrination
1393,Leif Krane,,654.M41,666.M41,832.M41,178,,"KIA (Battle Brother) (832.M41) (178 Years old)
Battle Brother (755.M41 - 832.M41) (77 Years) (101 Years old on date of promotion)
Artificer Brother (692.M41 - 755.M41) (63 Years) (38 Years old on date of promotion)
Battle Brother (673.M41 - 692.M41) (19 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","7th Chapter, 1st Squad (756.M41 - 832.M41) (76 Years)
Chapter Reserve (755.M41 - 756.M41) (1 Years)
5th Chapter, 1st Squad (692.M41 - 755.M41) (63 Years)
5th Chapter, 2nd Squad (673.M41 - 692.M41) (19 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 1st Squad (666.M41 - 673.M41) (7 Years)
",,Demoted on 755.M41 (from Artificer Brother to Battle Brother) Aged 101
1394,Delbeg Sureka,,654.M41,666.M41,Alive,364,Refractor Field (The Unbroken Cog) (888.M41 - Current),"Lieutenant (841.M41 - Current) (187 Years old on date of promotion)
Veteran Battle Brother (713.M41 - 841.M41) (128 Years) (59 Years old on date of promotion)
Battle Brother (673.M41 - 713.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","2nd Chapter, Command Squad (841.M41 - Current)
Chapter Command (713.M41 - 841.M41) (128 Years)
4th Chapter, 3rd Squad (673.M41 - 713.M41) (40 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 1st Squad (666.M41 - 673.M41) (7 Years)
",,Standard Indoctrination
1395,Hesiod Storm-Caller,,654.M41,666.M41,691.M41,37,,"KIA (Battle Brother) (691.M41) (37 Years old)
Battle Brother (673.M41 - 691.M41) (18 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","4th Chapter, 3rd Squad (673.M41 - 691.M41) (18 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 2nd Squad (666.M41 - 673.M41) (7 Years)
",,Standard Indoctrination
1396,Yusuf Martí-Main,,654.M41,666.M41,765.M41,111,,"KIA (Sergeant) (765.M41) (111 Years old)
Sergeant (693.M41 - 765.M41) (72 Years) (39 Years old on date of promotion)
Battle Brother (673.M41 - 693.M41) (20 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","5th Chapter, 1st Squad (693.M41 - 765.M41) (72 Years)
5th Chapter, 3rd Squad (673.M41 - 693.M41) (20 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 2nd Squad (666.M41 - 673.M41) (7 Years)
",,Standard Indoctrination
1397,Subotai Cass,,654.M41,666.M41,756.M41,102,,"KIA (Artificer Brother) (756.M41) (102 Years old)
Artificer Brother (694.M41 - 756.M41) (62 Years) (40 Years old on date of promotion)
Battle Brother (673.M41 - 694.M41) (21 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","5th Chapter, 6th Squad (694.M41 - 756.M41) (62 Years)
5th Chapter, 3rd Squad (673.M41 - 694.M41) (21 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 5th Squad (666.M41 - 673.M41) (7 Years)
",,Standard Indoctrination
1398,Albus Year,,654.M41,666.M41,718.M41,64,,"KIA (Artificer Brother) (718.M41) (64 Years old)
Artificer Brother (700.M41 - 718.M41) (18 Years) (46 Years old on date of promotion)
Battle Brother (673.M41 - 700.M41) (27 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","5th Chapter, 6th Squad (700.M41 - 718.M41) (18 Years)
5th Chapter, 3rd Squad (673.M41 - 700.M41) (27 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 6th Squad (666.M41 - 673.M41) (7 Years)
",,Standard Indoctrination
1399,Duan Benedetti-Blue,,654.M41,666.M41,866.M41,212,,"KIA (Battle Brother) (866.M41) (212 Years old)
Battle Brother (834.M41 - 866.M41) (32 Years) (180 Years old on date of promotion)
Sergeant (702.M41 - 834.M41) (132 Years) (48 Years old on date of promotion)
Battle Brother (673.M41 - 702.M41) (29 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","7th Chapter, 1st Squad (835.M41 - 866.M41) (31 Years)
Chapter Reserve (834.M41 - 835.M41) (1 Years)
5th Chapter, 2nd Squad (702.M41 - 834.M41) (132 Years)
5th Chapter, 3rd Squad (673.M41 - 702.M41) (29 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 7th Squad (666.M41 - 673.M41) (7 Years)
",,Demoted on 834.M41 (from Sergeant to Battle Brother) Aged 180
1400,Malphas Chant,,654.M41,666.M41,917.M41,263,,"KIA (Bond-Keeper) (917.M41) (263 Years old)
Bond-Keeper (791.M41 - 917.M41) (126 Years) (137 Years old on date of promotion)
Battle Brother (718.M41 - 791.M41) (73 Years) (64 Years old on date of promotion)
Sergeant (705.M41 - 718.M41) (13 Years) (51 Years old on date of promotion)
Battle Brother (673.M41 - 705.M41) (32 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 6th Squad (791.M41 - 917.M41) (126 Years)
3rd Chapter, 1st Squad (719.M41 - 791.M41) (72 Years)
Chapter Reserve (718.M41 - 719.M41) (1 Years)
5th Chapter, 4th Squad (705.M41 - 718.M41) (13 Years)
5th Chapter, 3rd Squad (673.M41 - 705.M41) (32 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 8th Squad (666.M41 - 673.M41) (7 Years)
",,Demoted on 718.M41 (from Sergeant to Battle Brother) Aged 64
1401,Wyrm Peek,,654.M41,666.M41,744.M41,90,,"KIA (Veteran Battle Brother) (744.M41) (90 Years old)
Veteran Battle Brother (713.M41 - 744.M41) (31 Years) (59 Years old on date of promotion)
Battle Brother (673.M41 - 713.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","Chapter Command (713.M41 - 744.M41) (31 Years)
6th Chapter, 3rd Squad (673.M41 - 713.M41) (40 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 9th Squad (666.M41 - 673.M41) (7 Years)
",,Standard Indoctrination
1402,Berke Henry,,654.M41,666.M41,843.M41,189,,"KIA (Battle Brother) (843.M41) (189 Years old)
Battle Brother (803.M41 - 843.M41) (40 Years) (149 Years old on date of promotion)
Veteran Battle Brother (713.M41 - 803.M41) (90 Years) (59 Years old on date of promotion)
Battle Brother (673.M41 - 713.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (666.M41 - 673.M41) (7 Years) (12 Years old on date of promotion)
","3rd Chapter, 1st Squad (804.M41 - 843.M41) (39 Years)
Chapter Reserve (803.M41 - 804.M41) (1 Years)
Chapter Command (713.M41 - 803.M41) (90 Years)
6th Chapter, 3rd Squad (673.M41 - 713.M41) (40 Years)
Chapter Reserve (673.M41 - 673.M41) (<1 Year)
10th Chapter, 9th Squad (666.M41 - 673.M41) (7 Years)
",,Demoted on 803.M41 (from Veteran Battle Brother to Battle Brother) Aged 149
1403,Zhu Star-Strider,,655.M41,667.M41,717.M41,62,,"KIA (Artificer Brother) (717.M41) (62 Years old)
Artificer Brother (705.M41 - 717.M41) (12 Years) (50 Years old on date of promotion)
Battle Brother (674.M41 - 705.M41) (31 Years) (19 Years old on date of promotion)
Neophyte (667.M41 - 674.M41) (7 Years) (12 Years old on date of promotion)
","5th Chapter, 4th Squad (705.M41 - 717.M41) (12 Years)
5th Chapter, 2nd Squad (674.M41 - 705.M41) (31 Years)
Chapter Reserve (674.M41 - 674.M41) (<1 Year)
10th Chapter, 2nd Squad (667.M41 - 674.M41) (7 Years)
",,Standard Indoctrination
1404,Philip Hunter,,655.M41,667.M41,746.M41,91,,"KIA (Veteran Battle Brother) (746.M41) (91 Years old)
Veteran Battle Brother (714.M41 - 746.M41) (32 Years) (59 Years old on date of promotion)
Battle Brother (674.M41 - 714.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (667.M41 - 674.M41) (7 Years) (12 Years old on date of promotion)
","Apothecarion (714.M41 - 746.M41) (32 Years)
6th Chapter, 3rd Squad (674.M41 - 714.M41) (40 Years)
Chapter Reserve (674.M41 - 674.M41) (<1 Year)
10th Chapter, 2nd Squad (667.M41 - 674.M41) (7 Years)
",,Standard Indoctrination
1405,Atharva Bane,,655.M41,667.M41,788.M41,133,,"KIA (Veteran Battle Brother) (788.M41) (133 Years old)
Veteran Battle Brother (714.M41 - 788.M41) (74 Years) (59 Years old on date of promotion)
Battle Brother (674.M41 - 714.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (667.M41 - 674.M41) (7 Years) (12 Years old on date of promotion)
","Apothecarion (714.M41 - 788.M41) (74 Years)
6th Chapter, 3rd Squad (674.M41 - 714.M41) (40 Years)
Chapter Reserve (674.M41 - 674.M41) (<1 Year)
10th Chapter, 2nd Squad (667.M41 - 674.M41) (7 Years)
",,Standard Indoctrination
1406,Long Good,,655.M41,667.M41,741.M41,86,,"KIA (Bond-Keeper) (741.M41) (86 Years old)
Bond-Keeper (714.M41 - 741.M41) (27 Years) (59 Years old on date of promotion)
Battle Brother (674.M41 - 714.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (667.M41 - 674.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 6th Squad (714.M41 - 741.M41) (27 Years)
6th Chapter, 3rd Squad (674.M41 - 714.M41) (40 Years)
Chapter Reserve (674.M41 - 674.M41) (<1 Year)
10th Chapter, 2nd Squad (667.M41 - 674.M41) (7 Years)
",,Hollow High-Capacity Identified
1407,Barachiel Grend,,655.M41,667.M41,722.M41,67,,"KIA (Veteran Battle Brother) (722.M41) (67 Years old)
Veteran Battle Brother (714.M41 - 722.M41) (8 Years) (59 Years old on date of promotion)
Battle Brother (674.M41 - 714.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (667.M41 - 674.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 6th Squad (714.M41 - 722.M41) (8 Years)
6th Chapter, 3rd Squad (674.M41 - 714.M41) (40 Years)
Chapter Reserve (674.M41 - 674.M41) (<1 Year)
10th Chapter, 3rd Squad (667.M41 - 674.M41) (7 Years)
",,Standard Indoctrination
1408,Kenjiro Drum,,655.M41,667.M41,727.M41,72,,"KIA (Veteran Battle Brother) (727.M41) (72 Years old)
Veteran Battle Brother (714.M41 - 727.M41) (13 Years) (59 Years old on date of promotion)
Battle Brother (674.M41 - 714.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (667.M41 - 674.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 6th Squad (714.M41 - 727.M41) (13 Years)
6th Chapter, 3rd Squad (674.M41 - 714.M41) (40 Years)
Chapter Reserve (674.M41 - 674.M41) (<1 Year)
10th Chapter, 3rd Squad (667.M41 - 674.M41) (7 Years)
",,Standard Indoctrination
1409,Balan Titan-Skull,,655.M41,667.M41,689.M41,34,,"KIA (Battle Brother) (689.M41) (34 Years old)
Battle Brother (674.M41 - 689.M41) (15 Years) (19 Years old on date of promotion)
Neophyte (667.M41 - 674.M41) (7 Years) (12 Years old on date of promotion)
","6th Chapter, 3rd Squad (674.M41 - 689.M41) (15 Years)
Chapter Reserve (674.M41 - 674.M41) (<1 Year)
10th Chapter, 3rd Squad (667.M41 - 674.M41) (7 Years)
",,Standard Indoctrination
1410,Charles Flay,,655.M41,667.M41,672.M41,17,,"KIA (Neophyte) (672.M41) (17 Years old)
Neophyte (667.M41 - 672.M41) (5 Years) (12 Years old on date of promotion)
","10th Chapter, 5th Squad (667.M41 - 672.M41) (5 Years)
",,Standard Indoctrination
1411,Sefu Gloom,,655.M41,667.M41,804.M41,149,,"KIA (Battle Brother) (804.M41) (149 Years old)
Battle Brother (788.M41 - 804.M41) (16 Years) (133 Years old on date of promotion)
Veteran Battle Brother (714.M41 - 788.M41) (74 Years) (59 Years old on date of promotion)
Battle Brother (674.M41 - 714.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (667.M41 - 674.M41) (7 Years) (12 Years old on date of promotion)
","3rd Chapter, 1st Squad (789.M41 - 804.M41) (15 Years)
Chapter Reserve (788.M41 - 789.M41) (1 Years)
Seconded to Deathwatch (779.M41 - 788.M41) (9 Years)

1st Chapter, 6th Squad (714.M41 - 779.M41) (65 Years)
7th Chapter, 3rd Squad (674.M41 - 714.M41) (40 Years)
Chapter Reserve (674.M41 - 674.M41) (<1 Year)
10th Chapter, 5th Squad (667.M41 - 674.M41) (7 Years)
",,Demoted on 788.M41 (from Veteran Battle Brother to Battle Brother) Aged 133
1412,Liu Kibre,,655.M41,667.M41,015.M42,360,,"KIA (Sergeant) (015.M42) (360 Years old)
Sergeant (906.M41 - 015.M42) (109 Years) (251 Years old on date of promotion)
Battle Brother (807.M41 - 906.M41) (99 Years) (152 Years old on date of promotion)
Veteran Battle Brother (714.M41 - 807.M41) (93 Years) (59 Years old on date of promotion)
Battle Brother (674.M41 - 714.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (667.M41 - 674.M41) (7 Years) (12 Years old on date of promotion)
","2nd Chapter, 6th Squad (906.M41 - 015.M42) (109 Years)
2nd Chapter, 2nd Squad (808.M41 - 906.M41) (98 Years)
Chapter Reserve (807.M41 - 808.M41) (1 Years)
1st Chapter, 3rd Squad (794.M41 - 807.M41) (13 Years)
Chapter Reserve (Returned from Long Vigil) (794.M41 - 794.M41) (<1 Year)

Seconded to Deathwatch (779.M41 - 794.M41) (15 Years)

1st Chapter, 6th Squad (714.M41 - 779.M41) (65 Years)
7th Chapter, 3rd Squad (674.M41 - 714.M41) (40 Years)
Chapter Reserve (674.M41 - 674.M41) (<1 Year)
10th Chapter, 8th Squad (667.M41 - 674.M41) (7 Years)
",,Demoted on 807.M41 (from Veteran Battle Brother to Battle Brother) Aged 152
1413,Amin Rex,,656.M41,668.M41,813.M41,157,,"KIA (Veteran Battle Brother) (813.M41) (157 Years old)
Veteran Battle Brother (715.M41 - 813.M41) (98 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","Reclusiam (715.M41 - 813.M41) (98 Years)
4th Chapter, 1st Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 1st Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1414,Tayisung Sulymanya,,656.M41,668.M41,669.M41,13,,"KIA (Neophyte) (669.M41) (13 Years old)
Neophyte (668.M41 - 669.M41) (1 Years) (12 Years old on date of promotion)
","10th Chapter, 2nd Squad (668.M41 - 669.M41) (1 Years)
",,Standard Indoctrination
1415,Jelani Kaul,,656.M41,668.M41,770.M41,114,,"KIA (Artificer Brother) (770.M41) (114 Years old)
Artificer Brother (714.M41 - 770.M41) (56 Years) (58 Years old on date of promotion)
Battle Brother (675.M41 - 714.M41) (39 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","5th Chapter, 8th Squad (714.M41 - 770.M41) (56 Years)
5th Chapter, 2nd Squad (675.M41 - 714.M41) (39 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 3rd Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1416,Duma Vespasian,,656.M41,668.M41,854.M41,198,,"KIA (Battle Brother) (854.M41) (198 Years old)
Battle Brother (767.M41 - 854.M41) (87 Years) (111 Years old on date of promotion)
Veteran Battle Brother (715.M41 - 767.M41) (52 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","8th Chapter, 1st Squad (768.M41 - 854.M41) (86 Years)
Chapter Reserve (767.M41 - 768.M41) (1 Years)
Reclusiam (715.M41 - 767.M41) (52 Years)
5th Chapter, 2nd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 3rd Squad (668.M41 - 675.M41) (7 Years)
",,Demoted on 767.M41 (from Veteran Battle Brother to Battle Brother) Aged 111
1417,Quintas Drusus,,656.M41,668.M41,996.M41,340,,"KIA (Sergeant) (996.M41) (340 Years old)
Sergeant (715.M41 - 996.M41) (281 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","6th Chapter, 1st Squad (715.M41 - 996.M41) (281 Years)
5th Chapter, 2nd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 3rd Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1418,Elos Omegon,,656.M41,668.M41,673.M41,17,,"KIA (Neophyte) (673.M41) (17 Years old)
Neophyte (668.M41 - 673.M41) (5 Years) (12 Years old on date of promotion)
","10th Chapter, 3rd Squad (668.M41 - 673.M41) (5 Years)
",,Standard Indoctrination
1419,Garviel Crow,,656.M41,668.M41,Alive,362,Relic Cape (Xenos-Hide Cloak) (939.M41 - Current),"Lieutenant (935.M41 - Current) (279 Years old on date of promotion)
Veteran Battle Brother (715.M41 - 935.M41) (220 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","5th Chapter, Command Squad (935.M41 - Current)
1st Chapter, 6th Squad (849.M41 - 935.M41) (86 Years)
Chapter Reserve (Returned from Long Vigil) (849.M41 - 849.M41) (<1 Year)

Seconded to Deathwatch (834.M41 - 849.M41) (15 Years)

1st Chapter, 7th Squad (804.M41 - 834.M41) (30 Years)
Chapter Reserve (Returned from Long Vigil) (804.M41 - 804.M41) (<1 Year)

Seconded to Deathwatch (789.M41 - 804.M41) (15 Years)

1st Chapter, 6th Squad (715.M41 - 789.M41) (74 Years)
5th Chapter, 2nd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 3rd Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1420,Xolani Decibel,,656.M41,668.M41,775.M41,119,,"KIA (Veteran Battle Brother) (775.M41) (119 Years old)
Veteran Battle Brother (715.M41 - 775.M41) (60 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 6th Squad (715.M41 - 775.M41) (60 Years)
7th Chapter, 3rd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 4th Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1421,Cyrion Falk,,656.M41,668.M41,683.M41,27,,"KIA (Battle Brother) (683.M41) (27 Years old)
Battle Brother (675.M41 - 683.M41) (8 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","7th Chapter, 3rd Squad (675.M41 - 683.M41) (8 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 4th Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1422,Valerius Plinth-Walker,,656.M41,668.M41,Alive,362,,"Dreadnought : D-XII (005.M42 - Current) (349 Years old on date of promotion)
Veteran Battle Brother (715.M41 - 005.M42) (290 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","9th Chapter, 4th Squad (005.M42 - Current)
Chapter Reserve (005.M42 - 005.M42) (<1 Year)
1st Chapter, 8th Squad (852.M41 - 005.M42) (153 Years)
Chapter Reserve (Returned from Long Vigil) (852.M41 - 852.M41) (<1 Year)

Seconded to Deathwatch (837.M41 - 852.M41) (15 Years)

1st Chapter, 3rd Squad (807.M41 - 837.M41) (30 Years)
Chapter Reserve (Returned from Long Vigil) (807.M41 - 807.M41) (<1 Year)

Seconded to Deathwatch (792.M41 - 807.M41) (15 Years)

1st Chapter, 6th Squad (715.M41 - 792.M41) (77 Years)
7th Chapter, 3rd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 4th Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1423,Kareem Old,,656.M41,668.M41,729.M41,73,,"KIA (Bond-Keeper) (729.M41) (73 Years old)
Bond-Keeper (715.M41 - 729.M41) (14 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 7th Squad (715.M41 - 729.M41) (14 Years)
7th Chapter, 3rd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 4th Squad (668.M41 - 675.M41) (7 Years)
",,Hollow High-Capacity Identified
1424,Ahmad Stone-Fist,,656.M41,668.M41,777.M41,121,,"KIA (Veteran Battle Brother) (777.M41) (121 Years old)
Veteran Battle Brother (715.M41 - 777.M41) (62 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 7th Squad (715.M41 - 777.M41) (62 Years)
7th Chapter, 3rd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 4th Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1425,Kalus Castus,,656.M41,668.M41,894.M41,238,,"KIA (Battle Brother) (894.M41) (238 Years old)
Battle Brother (889.M41 - 894.M41) (5 Years) (233 Years old on date of promotion)
Veteran Battle Brother (715.M41 - 889.M41) (174 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","2nd Chapter, 1st Squad (890.M41 - 894.M41) (4 Years)
Chapter Reserve (889.M41 - 890.M41) (1 Years)
Libarius (864.M41 - 889.M41) (25 Years)
Chapter Reserve (Returned from Long Vigil) (864.M41 - 864.M41) (<1 Year)

Seconded to Deathwatch (849.M41 - 864.M41) (15 Years)

1st Chapter, 6th Squad (819.M41 - 849.M41) (30 Years)
Chapter Reserve (Returned from Long Vigil) (819.M41 - 819.M41) (<1 Year)

Seconded to Deathwatch (804.M41 - 819.M41) (15 Years)

1st Chapter, 7th Squad (715.M41 - 804.M41) (89 Years)
7th Chapter, 3rd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 4th Squad (668.M41 - 675.M41) (7 Years)
",,Demoted on 889.M41 (from Veteran Battle Brother to Battle Brother) Aged 233
1426,Sigtrygg Frost-Giant,,656.M41,668.M41,673.M41,17,,"KIA (Neophyte) (673.M41) (17 Years old)
Neophyte (668.M41 - 673.M41) (5 Years) (12 Years old on date of promotion)
","10th Chapter, 4th Squad (668.M41 - 673.M41) (5 Years)
",,Standard Indoctrination
1427,Geta Iron-Bound,,656.M41,668.M41,730.M41,74,,"KIA (Veteran Battle Brother) (730.M41) (74 Years old)
Veteran Battle Brother (715.M41 - 730.M41) (15 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 7th Squad (715.M41 - 730.M41) (15 Years)
8th Chapter, 3rd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 5th Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1428,Myron Vanguard,,656.M41,668.M41,847.M41,191,,"KIA (Veteran Battle Brother) (847.M41) (191 Years old)
Veteran Battle Brother (715.M41 - 847.M41) (132 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 8th Squad (822.M41 - 847.M41) (25 Years)
Chapter Reserve (Returned from Long Vigil) (822.M41 - 822.M41) (<1 Year)

Seconded to Deathwatch (807.M41 - 822.M41) (15 Years)

1st Chapter, 7th Squad (715.M41 - 807.M41) (92 Years)
8th Chapter, 3rd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 5th Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1429,Mordred Iron-Eye,,656.M41,668.M41,793.M41,137,,"KIA (Veteran Battle Brother) (793.M41) (137 Years old)
Veteran Battle Brother (715.M41 - 793.M41) (78 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","1st Chapter, 7th Squad (715.M41 - 793.M41) (78 Years)
8th Chapter, 3rd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 5th Squad (668.M41 - 675.M41) (7 Years)
",,Standard Indoctrination
1430,Ejei Mistral-Mild,,656.M41,668.M41,802.M41,146,,"KIA (Battle Brother) (802.M41) (146 Years old)
Battle Brother (740.M41 - 802.M41) (62 Years) (84 Years old on date of promotion)
Veteran Battle Brother (715.M41 - 740.M41) (25 Years) (59 Years old on date of promotion)
Battle Brother (675.M41 - 715.M41) (40 Years) (19 Years old on date of promotion)
Neophyte (668.M41 - 675.M41) (7 Years) (12 Years old on date of promotion)
","9th Chapter, 2nd Squad (741.M41 - 802.M41) (61 Years)
Chapter Reserve (740.M41 - 741.M41) (1 Years)
1st Chapter, 7th Squad (715.M41 - 740.M41) (25 Years)
8th Chapter, 3rd Squad (675.M41 - 715.M41) (40 Years)
Chapter Reserve (675.M41 - 675.M41) (<1 Year)
10th Chapter, 5th Squad (668.M41 - 675.M41) (7 Years)
",,Demoted on 740.M41 (from Veteran Battle Brother to Battle Brother) Aged 84
